full_name,abbrev,solid_color,solid_text,white_text,city,nickname
Atlanta Hawks,ATL,#E03A3E,#C1D32F,#C1D32F,Atlanta,Hawks
Boston Celtics,BOS,#007A33,#BA9653,#BA9653,Boston,Celtics
Brooklyn Nets,BRK,#000000,#FFFFFF,#63727A,Brooklyn,Nets
Charlotte Hornets,CHO,#1D1160,#00788C,#00788C,Charlotte,Hornets
Chicago Bulls,CHI,#CE1141,#000000,#000000,Chicago,Bulls
Cleveland Cavaliers,CLE,#860038,#041E42,#041E42,Cleveland,Cavaliers|Cavs
Dallas Mavericks,DAL,#00538C,#002B5E,#002B5E,Dallas,Mavericks
Denver Nuggets,DEN,#0E2240,#FEC524,#FEC524,Denver,Nuggets
Detroit Pistons,DET,#C8102E,#1D42BA,#1D42BA,Detroit,Pistons
Golden State Warriors,GSW,#1D428A,#FFC72C,#FFC72C,Golden State,Warriors
Houston Rockets,HOU,#CE1141,#000000,#000000,Houston,Rockets
Indiana Pacers,IND,#002D62,#FDBB30,#FDBB30,Indiana,Pacers
Los Angeles Clippers,LAC,#C8102E,#1D428A,#1D428A,Los Angeles,Clippers
Los Angeles Lakers,LAL,#552583,#FDB927,#FDB927,Los Angeles,Lakers
Memphis Grizzlies,MEM,#5D76A9,#12173F,#12173F,Memphis,Grizzlies
Miami Heat,MIA,#98002E,#F9A01B,#F9A01B,Miami,Heat
Milwaukee Bucks,MIL,#00471B,#EEE1C6,#63727A,Milwaukee,Bucks
Minnesota Timberwolves,MIN,#0C2340,#236192,#236192,Minnesota,Timberwolves|Wolves
New Orleans Pelicans,NOP,#0C2340,#C8102E,#C8102E,New Orleans,Pelicans
New York Knicks,NYK,#006BB6,#F58426,#F58426,New York,Knicks
Oklahoma City Thunder,OKC,#007AC1,#EF3B24,#EF3B24,Oklahoma City,Thunder
Orlando Magic,ORL,#0077C0,#C4CED4,#63727A,Orlando,Magic
Philadelphia 76ers,PHI,#006BB6,#ED174C,#ED174C,Philadelphia,76ers|Sixers
Phoenix Suns,PHO,#1D1160,#E56020,#E56020,Phoenix,Suns
Portland Trail Blazers,POR,#E03A3E,#000000,#000000,Portland,Trail Blazers|Blazers
Sacramento Kings,SAC,#5A2D81,#63727A,#63727A,Sacramento,Kings
San Antonio Spurs,SAS,#000000,#C4CED4,#000000,San Antonio,Spurs
Toronto Raptors,TOR,#CE1141,#000000,#000000,Toronto,Raptors
Utah Jazz,UTA,#002B5C,#00471B,#00471B,Utah,Jazz
Washington Wizards,WAS,#002B5C,#E31837,#E31837,Washington,Wizards
Charlotte Bobcats,CHO,#1D1160,#00788C,#00788C,Charlotte,Bobcats
New Jersey Nets,BRK,#000000,#FFFFFF,#63727A,New Jersey,Nets
New Orleans Hornets,NOP,#0C2340,#C8102E,#C8102E,New Orleans,Hornets
